項目,習慣,時間  
メンタル安定,感謝リスト10個書く,10分  
メンタル安定,three good thingsを書く,5分  
メンタル安定,不安や不満を日記に書く,10分  
早起き,モーニングルーティーンを実行,5分  
早起き,起床後すぐ日光を浴びる,5分  
早起き,水をコップ1杯飲む,1分  
集中力向上,ポモドーロ25分作業,25分  
集中力向上,作業前にタスク3つ決める,3分  
集中力向上,作業環境を整理する,5分  
運動,腕立て伏せ,5分  
運動,プランク,3分  
運動,ストレッチ,10分  
学習,英語リスニング,10分  
学習,英単語暗記,10分  
学習,技術記事を読む,15分  
プログラミング,コードを書く,60分  
プログラミング,リファクタリング,20分  
プログラミング,GitHubにコミット,5分  
健康,水を1.5L飲む,随時  
健康,7時間睡眠確保,420分  
健康,カフェイン摂取制限,0分  
対人,雑談を1回する,5分  
対人,挨拶＋一言追加,1分  
対人,相手に質問1つする,2分  
思考整理,その日の振り返り,10分  
思考整理,明日のタスク設定,5分  
思考整理,目標の再確認,3分  
娯楽,好きな音楽を聴く,10分  
娯楽,ダンス練習,20分  
デジタル管理,不要ファイル削除,10分
